mois,region,authorType,depts,participants,refs,question,oui,non,vide,mots-cles,occurrences,type,link
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q188,no,no,no,"services=281,territoires=235,communes=149,citoyens=120,publics=111,service=101,public=95,territoire=95,fonctionnaires=94,régions=91",1372,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q191,no,no,no,"formation=302,emploi=169,formations=122,concerné=39,travail=35,aucune=30,financement=29,jamais=25,organismes=25,professionnelle=25",801,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q192,no,no,no,"enfants=166,scolaire=94,l'école=79,enseignants=76,élèves=72,nationale=63,enfant=61,parents=52,manque=49,classe=45",757,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q193,no,no,no,"emploi=536,d'emploi=93,travail=79,formation=69,aucune=53,recherche=53,jamais=53,trouver=48,trouvé=44,personnes=42",1070,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q194,no,no,no,"retraite=360,dossier=124,carsat=86,carrière=60,internet=50,service=50,caisses=49,problème=45,retraites=42,aucune=40",906,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q195,no,no,no,"remboursement=121,sécurité=113,mutuelle=109,sociale=108,problème=103,remboursements=92,charge=65,mutuelles=64,vitale=54,fonctionne=43",872,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q196,no,no,no,"handicap=80,dossier=69,demande=49,enfants=45,concerné=45,personnes=35,handicapé=29,personne=28,charge=26,enfant=25",431,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q198,no,no,no,"entreprise=75,création=66,charges=30,commerce=30,l'urssaf=29,urssaf=27,d'entreprise=26,activité=25,simple=23,compliqué=22",353,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q199,no,no,no,"emploi=76,travail=29,personnel=25,concerné=25,recrutement=19,salarié=15,recruter=14,candidats=13,démarches=12,personnes=11",239,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q200,no,no,no,"formation=77,concerné=27,formations=17,organismes=13,entreprises=12,travail=11,toujours=11,charge=10,personnel=8,financement=8",194,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q201,no,no,no,"charges=33,concerné=27,travail=19,entreprises=16,urssaf=16,salaire=15,comptable=15,service=14,sociales=13,cotisations=12",180,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q202,no,no,no,"concerné=23,activité=22,retraite=19,d'activité=13,travail=11,service=11,difficultés=11,services=11,aucune=10,société=9",140,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q203,no,no,no,"concerné=34,concernée=8,médecine=7,handicapé=5,d'installation=5,handicap=4,handicapés=4,personnes=4,travail=4,l'etat=4",79,ou,solo
janvier,Nouvelle-Aquitaine,Citoyen / Citoyenne,"16=127,17=381,19=104,23=77,24=241,33=919,40=258,47=167,64=406,79=155,86=180,87=172",3187,3187,Q189,no,no,no,"vitesse=2287,gouvernement=1690,conducteurs=1676,sécurité=1186,politique=1144,limitation=1119,routière=1104,radars=1081,service=695,français=677",12659,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q169,no,no,no,"personnes=15,services=13,nombre=12,travail=9,toutes=9,réduire=9,doivent=8,l'état=8,gouvernement=8,donner=7",98,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q170,41,37,81,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q171,no,no,no,"routes=5,régions=5,vitesse=4,gestion=4,départements=3,communes=3,missions=3,moyens=3,exemple=3,laisser=2",35,ou,Q170
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q204,58,21,80,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q172,no,no,no,"services=8,service=6,publics=4,certains=3,médical=3,désert=3,nouveaux=3,prendre=3,réponses=3,public=3",39,ou,Q204
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q174,no,no,no,"internet=17,services=7,faudrait=6,démarches=5,développement=4,toutes=4,aucune=3,citoyen=3,nouveaux=3,personnes=3",55,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q175,21,47,91,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q176,15,7,137,no,no,fe,Q175
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q177,no,no,no,"services=9,service=5,département=4,publics=4,rendez-vous=3,encore=3,petites=3,villes=3,certains=3,aujourd'hui=3",40,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q178,no,no,no,"services=9,internet=4,public=3,permis=3,positif=3,agents=3,évolutions=2,numérique=2,grandement=2,service=2",33,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q179,no,no,no,"services=10,nationale=5,publics=4,l'éducation=4,emploi=3,personnel=3,surtout=3,personnes=3,france=3,urgence=3",41,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q180,55,15,89,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q181,6,57,96,no,no,fe,Q180
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q182,no,no,no,"déclaration=3,personne=2,donner=2,revenu=2,oublié=1,déclarer=1,sanctionnee=1,rectifié=1,j'étais=1,mobilité=1",15,ou,Q180
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q183,no,no,no,"demande=6,paiement=4,normes=4,papiers=3,l'administration=3,refusé=3,construction=3,complexité=2,impossible=2,internet=2",32,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q184,40,22,97,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q185,no,no,no,"pouvoir=4,qu'ils=4,formant=3,humaine=2,dossiers=2,responsabilisant=2,confiance=2,formation=2,d'autonomie=2,missions=2",25,ou,Q184
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q186,45,10,104,no,no,fe,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q187,no,no,no,"service=6,formation=6,fonctionnaires=6,administrations=6,l'administration=5,services=5,toutes=4,publique=4,fonctionnaire=4,citoyen=4",50,ou,Q186
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q188,no,no,no,"services=6,territoires=5,davantage=5,chaque=5,citoyens=4,développement=4,régions=4,collectivités=4,ressources=4,soient=4",45,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q191,no,no,no,"formation=14,formations=4,semaines=4,prendre=3,pendant=3,manque=3,financer=2,général=2,refusent=2,charge=2",39,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q192,no,no,no,"enfants=6,problème=4,scolaire=3,france=3,professeurs=3,charge=3,élèves=3,trouver=2,logement=2,mairie=2",31,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q193,no,no,no,"emploi=13,numéro=4,recherche=3,toujours=3,statut=2,d'intermittent=2,spectacle=2,strictement=2,aucune=2,proposition=2",35,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q194,no,no,no,"retraite=8,dossier=6,complémentaires=3,caisses=3,internet=2,demande=2,plusieurs=2,années=2,délais=2,difficulté=2",32,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q195,no,no,no,"remboursements=3,vitale=3,automatiquement=2,personne=2,fonctionne=2,mutuelle=2,probleme=1,particulier=1,dépassements=1,d'honoraires=1",18,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q196,no,no,no,"dossiers=3,handicapé=3,demande=3,lenteur=2,travailleur=2,renouvellements=2,maintenant=2,démarches=2,concerné=2,réponse=2",23,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q198,no,no,no,"urssaf=2,obligés=2,verser=2,provision=2,financière=2,administrations=2,d'avoir=2,généré=2,premier=2,chiffre=2",20,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q199,no,no,no,"travail=2,emploi=1,concerné=1,recrutement=1,d'apprentis=1,présentait=1,enfants=1,niveau=1,scolaire=1,rendait=1",11,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q200,no,no,no,"formation=2,interne=1,chambre=1,commerce=1,manque=1,motivation=1,discipline=1,jeunes=1,réponse=1,ci-dessus=1",11,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q201,no,no,no,"concerné=1,difficultés=1,l'urssaf=1,fourniture=1,vêtements=1,travail=1,l'ouvrier=1,refusait=1,demandé=1,professionnels=1",10,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q202,no,no,no,"d'aller=3,statut=2,d'intermittent=2,spectacle=2,strictement=2,aucune=2,proposition=2,emploi=2,l'espace=2,critères=2",21,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q203,no,no,no,"concerné=2,profiles=1,correspondaient=1,recherche=1",5,ou,solo
janvier,Nouvelle-Aquitaine,,"16=7,17=17,19=9,23=3,24=20,33=42,40=13,47=2,64=19,79=10,86=7,87=10",159,159,Q189,no,no,no,"vitesse=186,conducteurs=166,gouvernement=159,sécurité=103,routière=96,radars=94,politique=93,limitation=90,contre=66,français=64",1117,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q169,no,no,no,"doivent=20,nombre=18,services=16,commune=12,vitesse=12,gouvernement=12,publics=10,conducteurs=9,sécurité=9,service=9",127,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q170,15,10,15,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q171,no,no,no,"l'etat=4,territoire=4,citoyens=3,proximité=3,régaliennes=2,décentralisation=2,confiance=2,missions=2,l'éducation=2,toutes=2",26,ou,Q170
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q204,17,9,14,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q172,no,no,no,"services=5,publics=4,travail=4,transport=3,impossible=3,rurales=3,écoles=3,évitera=3,personnes=2,suppression=2",32,ou,Q204
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q174,no,no,no,"internet=7,numérique=4,services=4,france=3,interlocuteur=2,démarches=2,emplois=2,aucune=2,population=2,société=2",30,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q175,9,17,14,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q176,6,4,30,no,no,fe,Q175
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q177,no,no,no,"services=4,publics=2,public=2,polyvalents=2,rendez=2,établir=1,proximite=1,essayer=1,service=1,itinérant=1",17,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q178,no,no,no,"service=3,services=2,fiscaux=2,citoyens=2,publics=2,rentabilité=2,sociale=2,préfecture=1,impots=1,dépend=1",18,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q179,no,no,no,"services=7,nombre=3,démarches=3,financiers=3,nationale=3,gendarmerie=2,travaux=2,rendre=2,beaucoup=2,facilitation=2",29,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q180,19,5,16,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q181,2,18,20,no,no,fe,Q180
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q182,no,no,no,"diverses=1,méprises=1,erreurs=1,travaux=1,voirie=1,riverains=1,l'utilité=1,question=1,déclaration=1,revenus=1",10,ou,Q180
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q183,no,no,no,"dossier=2,demande=2,prélèvement=2,source=2,handicapés=1,déposer=1,auprès=1,conseil=1,départemental=1,dispositions=1",14,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q184,14,6,20,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q185,no,no,no,"pouvoir=2,donnant=2,décisionnel=1,grande=1,latitude=1,préfets=1,apprécier=1,situations=1,locales=1,jugeant=1",12,ou,Q184
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q186,15,1,24,no,no,fe,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q187,no,no,no,"formation=3,formations=2,qu'ils=2,terrain=2,seraient=2,service=2,agents=2,continue=2,'économies=1,dettes=1",19,ou,Q186
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q188,no,no,no,"compétences=6,services=3,revoir=3,territoriales=3,locales=3,territoires=3,structures=3,taille=3,regroupement=3,publics=2",32,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q191,no,no,no,"connaissent=2,applicable=1,emploi=1,nullité=1,crasse=1,agents=1,formés=1,territoire=1,lequel=1,exercent=1",11,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q192,no,no,no,"écoles=3,qualité=3,nationales=2,applicable=1,communales=1,rurales=1,grande=1,enfants=1,sortis=1,niveau=1",15,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q193,no,no,no,"emploi=2,concerné=2,applicable=1,radiation=1,fréquente=1,inhumaine=1,remplir=1,contraintes=1,l'ordinateur=1,d'aucune=1",12,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q194,no,no,no,"retraite=3,retraites=3,fournissent=3,compte=2,caisses=2,difficulté=2,compétents=2,interlocuteur=1,unique=1,notamment=1",20,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q195,no,no,no,"remboursement=2,niveau=1,démarche=1,ameliorer=1,service=1,fonctionne=1,difficile=1,joindre=1,services=1,faiblesse=1",11,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q196,no,no,no,"dossier=3,département=3,handicap=2,allait=2,sommes=2,voulait=2,toutes=1,peines=1,déposer=1,règlements=1",18,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q198,no,no,no,"applicable=1,guichet=1,unique=1,agents=1,formés=1,serait=1,efficace=1,concerne=1,papiers=1,cotisations=1",10,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q199,no,no,no,"emploi=2,applicable=1,incompétence=1,souvent=1,relancer=1,réponses=1,auprès=1,semble=1,salariés=1,délégation=1",11,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q200,no,no,no,"applicable=1,administration=1,concernée=1,collectivité=1,formes=1",5,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q201,no,no,no,"bienfaits=1,chèque=1,emploi-service=1,gestion=1,l'urssaf=1,applicable=1,système=1,échelons=1,fonctionnaires=1,compliqué=1",10,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q202,no,no,no,applicable=1,1,ou,solo
janvier,Nouvelle-Aquitaine,Élu / élue et Institution,"16=2,17=3,19=4,23=1,24=4,33=9,40=5,47=2,64=6,86=3,87=1",40,40,Q203,no,no,no,applicable=1,1,ou,solo
