mois,region,authorType,depts,participants,refs,question,oui,non,vide,mots-cles,occurrences,type,link
janvier,Normandie,Organisation à but non lucratif,"27=2,50=2,76=3",7,7,Q202,no,no,no,applicable=1,1,ou,solo
janvier,Normandie,Organisation à but non lucratif,"27=2,50=2,76=3",7,7,Q203,no,no,no,applicable=1,1,ou,solo
janvier,Normandie,Organisation à but non lucratif,"27=2,50=2,76=3",7,7,Q189,no,no,no,"vitesse=4,mettre=3,services=3,conducteurs=3,gouvernement=3,publics=2,limitation=2,contre=2,radars=2,politique=2",26,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q169,no,no,no,"communes=12,l'etat=8,collectivités=6,communautés=5,développement=4,suppression=4,locales=4,compétences=4,l'organisation=4,habitants=4",55,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q170,8,8,7,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q171,no,no,no,"régional=4,d'éducation=3,niveau=3,l'état=3,champs=2,compétences=2,matière=2,recteur=2,représentant=2,service=2",25,ou,Q170
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q204,10,6,7,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q172,no,no,no,"personnes=5,éloignés=2,services=2,situation=2,existé=1,particulièrement=1,milieu=1,chefs-lieux=1,canton=1,possédaient=1",17,ou,Q204
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q174,no,no,no,"toutes=5,démarches=4,internet=3,citoyen=2,compte=2,formalités=2,informations=2,d'identité=2,déplacer=2,refaire=2",26,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q175,6,8,9,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q176,4,2,17,no,no,fe,Q175
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q177,no,no,no,"services=6,horaires=4,soient=2,pistes=2,d'ouverture=2,résultat=2,quelques=2,guichet=2,encore=1,faudrait-il=1",24,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q178,no,no,no,"démarches=2,services=2,publics=2,entrer=2,dispersion=1,négatif=1,peuvent=1,évoluées=1,veulent=1,gratuit=1",14,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q179,no,no,no,"services=9,publics=4,personnes=3,service=3,nombreux=2,administrations=2,qualité=2,raison=1,l'augmentation=1,nombre=1",28,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q180,14,2,7,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q181,1,14,8,no,no,fe,Q180
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q182,no,no,no,"foncière=1,relance=1,majoration=1,répétés=1,l'administration=1,fiscale=1,depuis=1,quelques=1,politique=1,discutera=1",10,ou,Q180
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q183,no,no,no,"prélèvement=3,source=3,aurait=1,tellement=1,simple=1,d'imposer=1,mensualisation=1,basculer=1,aucune=1,centralisation=1",14,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q184,7,7,9,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q185,no,no,no,"portée=2,formation=1,problème=1,compétence=1,impliquant=1,résultats=1,obtenus=1,circonscription=1,peut-être=1,maisons=1",11,ou,Q184
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q186,12,2,9,no,no,fe,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q187,no,no,no,"concours=3,supprimer=2,personnes=2,compétences=2,formation=2,rendre=2,système=2,public=2,fonctionnaires=2,travailler=2",21,ou,Q186
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q188,no,no,no,"l'état=2,collectivités=2,locales=2,centralisation=1,réseaux=1,transport=1,offrant=1,possibilités=1,d'horaires=1,d'ouverture=1",13,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q191,no,no,no,"emploi=2,formation=2,chinois=2,chance=1,d'être=1,accompagnée=1,conseiller=1,valoriser=1,parcours=1,proposant=1",13,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q192,no,no,no,"enfants=4,l'éducation=3,nationale=3,scolaire=3,sciences=3,respect=3,enseignants=2,diminution=2,scientifique=2,technologique=2",27,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q193,no,no,no,"emploi=7,d'emploi=4,pourrais=1,parler=1,heures=1,administration=1,demandeurs=1,niveau=1,administratif=1,redonner=1",19,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q194,no,no,no,"téléphone=2,excellent=1,accompagnement=1,services=1,rectorat=1,grande=1,incertitude=1,résumé=1,situation=1,examen=1",11,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q195,no,no,no,"délais=1,d'accord=1,charge=1,transport=1,accord=1,arrivé=1,expiration=1,trouve=1,services=1,sécurité=1",10,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q196,no,no,no,"l'extrême=1,lenteur=1,l'obtention=1,documents=1,permettant=1,facilités=1,déplacement=1,stationnement=1,parents=1,d'enfants=1",10,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q198,no,no,no,"auto-entreprise=1,démarche=1,simple=1,rapide=1,l'entrepreunariat=1,lourdeur=1,services=1,greffe=1,catastrophe=1,progressif=1",10,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q199,no,no,no,"difficulté=1,trouver=1,personnel=1,prud'hommes=1,facilement=1,saisis=1,harcèlement=1,notamment=1,contre=1,employeurs=1",10,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q200,no,no,no,"règles=1,formations=1,obligatoires=1,reviennent=1,souvent=1,fréquent=1",6,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q201,no,no,no,"salaire=2,embaucher=1,personnel=1,associatif=1,encore=1,simple=1,rapide=1,facilité=1,décision=1,d'embauche=1",11,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q202,no,no,no,"activité=2,compte=2,arrêté=1,facilement=1,d'auto-entrepreneur=1,cicprp=1,fermeture=1,envoie=1,décompte=1,annuel=1",12,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q203,no,no,no,"activité=2,compte=2,arrêté=1,facilement=1,d'auto-entrepreneur=1,cicprp=1,fermeture=1,envoie=1,décompte=1,annuel=1",12,ou,solo
janvier,Normandie,Élu / élue et Institution,"14=5,27=5,50=5,61=2,76=6",23,23,Q189,no,no,no,"vitesse=28,conducteurs=18,gouvernement=18,politique=13,sécurité=13,limitation=12,radars=12,routière=12,français=8,rouler=8",142,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q169,no,no,no,"copier=1,allemagne=1,préfectures=1,ouverts=1,jusque=1,100kmh=1,national=1,routes=1,incompétence=1,fonctionnaires=1",10,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q170,0,1,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q171,no,no,no,"copier=1,allemagne=1,préfectures=1,ouverts=1,jusque=1,100kmh=1,national=1,routes=1,incompétence=1,fonctionnaires=1",10,ou,Q170
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q204,0,1,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q172,no,no,no,"quelle=1,ouvert=1,travail=1",3,ou,Q204
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q174,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q175,1,0,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q176,1,0,0,no,no,fe,Q175
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q177,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q178,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q179,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q180,1,0,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q181,0,1,0,no,no,fe,Q180
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q182,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,Q180
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q183,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q184,0,1,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q185,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,Q184
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q186,1,0,0,no,no,fe,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q187,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,Q186
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q188,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q191,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q192,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q193,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q194,no,no,no,"aucune=1,trouver=1,personne=1,compétente=1",4,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q195,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q196,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q198,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q199,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q200,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q201,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q202,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q203,no,no,no,"jamais=1,personne=1,répond=1",3,ou,solo
janvier,Normandie,Organisation à but lucratif,76=1,1,1,Q189,no,no,no,"vitesse=4,conducteurs=3,gouvernement=3,limitation=2,radars=2,politique=2,sécurité=2,routière=2,revenir=1,abaissement=1",22,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q169,no,no,no,"france=12,gouvernement=12,vitesse=12,supprimer=11,services=11,peuple=10,politique=10,citoyens=10,administrations=9,contre=9",106,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q170,29,45,27,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q171,no,no,no,"missions=7,l'etat=6,collectivités=5,gestion=4,transferts=4,moyens=4,territoire=3,transfert=3,justice=3,services=3",42,ou,Q170
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q204,47,30,24,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q172,no,no,no,"services=9,publics=6,police=6,service=5,public=4,gendarmerie=4,formation=4,chaque=3,renforcer=3,justice=3",47,ou,Q204
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q174,no,no,no,"internet=12,services=7,démarches=6,pouvoir=5,soient=4,droits=3,besoin=3,d'identité=3,administratives=3,service=3",49,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q175,20,51,30,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q176,14,10,77,no,no,fe,Q175
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q177,no,no,no,"services=6,agents=6,d'attente=4,personnes=3,toujours=3,regroupement=3,polyvalence=3,domaines=3,plusieurs=3,problème=3",37,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q178,no,no,no,"services=5,démarches=4,postes=3,service=3,publics=3,emploi=3,aucune=3,cesser=2,numérique=2,dématérialisation=2",30,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q179,no,no,no,"service=10,services=8,éducation=7,public=6,emploi=5,l'éducation=5,nationale=5,doivent=4,education=4,préfecture=4",58,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q180,58,15,28,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q181,4,63,34,no,no,fe,Q180
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q182,no,no,no,"déclaration=2,paiement=2,revenus=1,impots=1,revenu=1,l'administration=1,résilié=1,prélèvement=1,l'échéance=1,compagnon=1",12,ou,Q180
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q183,no,no,no,"papiers=5,permis=4,l'administration=4,formalités=3,documents=3,complexe=3,papier=3,parfois=3,domicile=3,déclaration=3",34,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q184,44,23,34,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q185,no,no,no,"fonctionnaires=8,qu'ils=4,compétents=4,exemple=4,donner=4,formant=3,projets=3,terrain=3,agents=3,politique=3",39,ou,Q184
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q186,60,6,35,no,no,fe,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q187,no,no,no,"fonctionnaires=19,agents=9,service=8,services=7,formations=7,formation=7,personnes=6,former=6,travail=5,faciliter=5",79,ou,Q186
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q188,no,no,no,"services=8,fonctionnaires=7,agents=5,commun=4,terrain=4,publics=4,internet=4,moyens=3,nombre=3,publiques=3",45,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q191,no,no,no,"formation=16,emploi=9,aucune=5,formations=5,travail=5,métiers=3,marché=3,problème=3,toutes=3,région=2",54,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q192,no,no,no,"l'école=5,difficulté=5,scolaire=4,mairie=4,scolaires=4,élèves=4,collège=4,d'inscription=3,cantine=3,problème=3",39,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q193,no,no,no,"emploi=12,formation=3,concernée=3,recherche=3,beaucoup=3,toujours=3,souvent=3,jamais=2,concours=2,difficultés=2",36,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q194,no,no,no,"retraite=12,souvent=4,nationale=3,impossible=3,départ=3,réponse=3,difficultés=3,régimes=3,personnes=3,beaucoup=2",39,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q195,no,no,no,"mutuelle=7,remboursement=6,sécurité=5,sociale=5,régime=3,dossier=3,souvent=3,mutuelles=3,soigner=2,création=2",39,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q196,no,no,no,"domicile=2,malade=2,efficace=2,concernée=2,dossier=2,incompatible=2,handicap=2,financement=2,montant=2,l'aide=2",20,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q198,no,no,no,"souvent=5,entreprise=4,création=4,concernée=3,france=3,démarches=2,difficile=2,administratives=2,depuis=2,d'entreprises=2",29,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q199,no,no,no,"emploi=5,recrutement=4,travail=4,concernée=3,difficile=3,service=2,difficultés=2,pratique=1,simple=1,d'utilisation=1",26,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q200,no,no,no,"formation=10,système=3,concernée=2,partie=2,rémunérer=2,entreprises=2,jeunes=2,totalement=2,former=2,initiale=2",29,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q201,no,no,no,"charges=4,entreprises=3,davantage=3,problème=2,concernée=2,augmentations=2,salaires=2,l'entreprise=2,productivité=2,travail=2",24,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q202,no,no,no,"concernée=3,nationale=2,l'indemnisation=2,concerné=1,contractuels=1,l'éducation=1,trouve=1,compliqué=1,dépendre=1,assedics=1",14,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q203,no,no,no,"concernée=3,concerné=1,recrutements=1,personnes=1,handicapées=1,beaucoup=1,intervenants=1,difficulté=1,majeure=1",11,ou,solo
janvier,La Réunion,Citoyen / Citoyenne,974=101,101,101,Q189,no,no,no,"vitesse=76,gouvernement=57,conducteurs=54,sécurité=38,radars=37,politique=37,routière=37,limitation=36,service=24,citoyens=22",418,ou,solo
janvier,La Réunion,,974=3,3,3,Q169,no,no,no,"vitesse=4,conducteurs=3,gouvernement=3,limitation=2,radars=2,politique=2,sécurité=2,routière=2,citoyens=2,revenir=1",23,ou,solo
janvier,La Réunion,,974=3,3,3,Q170,1,1,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q171,no,no,no,"faudrait=1,préservé=1,nature=1,nettoyer=1",4,ou,Q170
janvier,La Réunion,,974=3,3,3,Q204,2,0,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q172,no,no,no,"faudrait=1,préservé=1,nature=1,nettoyer=1",4,ou,Q204
janvier,La Réunion,,974=3,3,3,Q174,no,no,no,"l'état=1,devrait=1,jeunes=1,sortit=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q175,1,1,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q176,1,0,2,no,no,fe,Q175
janvier,La Réunion,,974=3,3,3,Q177,no,no,no,"l'état=1,devrait=1,jeunes=1,sortit=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q178,no,no,no,"l'aide=1,emploi=1,évolué=1",3,ou,solo
janvier,La Réunion,,974=3,3,3,Q179,no,no,no,"services=1,nettoyage=1,devraient=1,d'effectifs=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q180,1,1,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q181,0,1,2,no,no,fe,Q180
janvier,La Réunion,,974=3,3,3,Q182,no,no,no,"services=1,nettoyage=1,devraient=1,d'effectifs=1",4,ou,Q180
janvier,La Réunion,,974=3,3,3,Q183,no,no,no,"services=1,nettoyage=1,devraient=1,d'effectifs=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q184,1,1,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q185,no,no,no,"doivent=1,cantonné=1",2,ou,Q184
janvier,La Réunion,,974=3,3,3,Q186,0,2,1,no,no,fe,solo
janvier,La Réunion,,974=3,3,3,Q187,no,no,no,"doivent=1,cantonné=1",2,ou,Q186
janvier,La Réunion,,974=3,3,3,Q188,no,no,no,"commencer=1,arrêtant=1,sponsoriser=1,procréation=1,autres=1,subsides=1,sociaux=1,l'écoute=1,jeunes=1,nettoyé=1",10,ou,solo
janvier,La Réunion,,974=3,3,3,Q191,no,no,no,"commencer=1,arrêtant=1,sponsoriser=1,procréation=1,autres=1,subsides=1,sociaux=1,l'écoute=1,jeunes=1,nettoyé=1",10,ou,solo
janvier,La Réunion,,974=3,3,3,Q192,no,no,no,"commencer=1,arrêtant=1,sponsoriser=1,procréation=1,autres=1,subsides=1,sociaux=1,l'écoute=1,jeunes=1,nettoyé=1",10,ou,solo
janvier,La Réunion,,974=3,3,3,Q193,no,no,no,"commencer=1,arrêtant=1,sponsoriser=1,procréation=1,autres=1,subsides=1,sociaux=1,l'écoute=1,jeunes=1,nettoyé=1",10,ou,solo
janvier,La Réunion,,974=3,3,3,Q194,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q195,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q196,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q198,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q199,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q200,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q201,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q202,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q203,no,no,no,"sécurité=1,sociale=1,difficiles=1,joindre=1",4,ou,solo
janvier,La Réunion,,974=3,3,3,Q189,no,no,no,"vitesse=4,conducteurs=3,gouvernement=3,limitation=2,radars=2,politique=2,sécurité=2,routière=2,service=2,citoyens=2",24,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q169,no,no,no,"communes=2,compétences=2,collectivités=2,supprimer=2,diminuer=1,nombre=1,d'échelon=1,administratif=1,supprimant=1,départements=1",14,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q170,2,0,0,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q171,no,no,no,"régions=2,frontalières=1,d'outremer=1,doivent=1,compétence=1,matière=1,coopération=1,économique=1,internationale=1,respect=1",11,ou,Q170
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q204,1,1,0,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q172,no,no,no,"revoir=1,réforme=1,service=1,public=1,politisé=1,omniprésent=1,domaines=1,d'activités=1",8,ou,Q204
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q174,no,no,no,"revoir=1,réforme=1,service=1,public=1,politisé=1,omniprésent=1,domaines=1,d'activités=1",8,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q175,1,1,0,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q176,1,0,1,no,no,fe,Q175
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q177,no,no,no,"l'accompagnement=1,public=1,souvent=1,défavorisé=1,indispensable=1",5,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q178,no,no,no,"vitale=1,malgré=1,surcharges=1,pitaux=1,services=1,d'urgence=1,l'armée=1,nouvelle=1,configuration=1,défense=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q179,no,no,no,"l'éducation=1,nationale=1,remplir=1,mission=1,doivent=1,davantage=1,s'impliquer=1,financer=1,social=1,publics=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q180,2,0,0,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q181,0,2,0,no,no,fe,Q180
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q182,no,no,no,"l'éducation=1,nationale=1,remplir=1,mission=1,doivent=1,davantage=1,s'impliquer=1,financer=1,social=1,publics=1",10,ou,Q180
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q183,no,no,no,"budgétaire=2,prévoit=2,annualité=1,fonctionnement=1,pluriannuel=1,l'etat=1,toujours=1,budget=1,constant=1,législation=1",12,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q184,1,0,1,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q185,no,no,no,"contrepartie=1,autonomie=1,rendre=1,responsables=1,erreurs=1,décision=1,jamais=1",7,ou,Q184
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q186,1,0,1,no,no,fe,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q187,no,no,no,"garantie=1,l'emploi=1,fonctionnaires=1,supprimer=1,écoles=1,formation=1,publiques=1,entrer=1,formations=1,universitaires=1",10,ou,Q186
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q188,no,no,no,"compétences=2,revoir=1,clarifier=1,répartition=1,collectivités=1,peuvent=1,générales=1,territoire=1,suppression=1,conseils=1",11,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q191,no,no,no,"grande=2,complexité=1,l'offre=1,formation=1,difficulté=1,charge=1,financière=1",8,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q192,no,no,no,"système=1,l'école=1,publique=1,relativement=1,satisfaisant=1,condition=1,l'équipe=1,éducative=1,décide=1,parents=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q193,no,no,no,"emploi=1,dispose=1,l'offre=1,d'emploi=1,oriente=1,souvent=1,fonction=1,dispositifs=1,existants=1,crédits=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q194,no,no,no,"emploi=1,dispose=1,l'offre=1,d'emploi=1,oriente=1,souvent=1,fonction=1,dispositifs=1,existants=1,crédits=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q195,no,no,no,"document=2,certaines=1,dépenses=1,encore=1,remboursées=1,médicaments=1,confort=1,parfois=1,lenteur=1,réponse=1",11,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q196,no,no,no,"document=2,certaines=1,dépenses=1,encore=1,remboursées=1,médicaments=1,confort=1,parfois=1,lenteur=1,réponse=1",11,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q198,no,no,no,"complexité=1,paperasserie=1,dissuadantes=1,déclaration=1,services=1,fiscaux=1,dieccte=1,situations=1,économiques=1,territoire=1",10,ou,solo
janvier,La Réunion,Organisation à but non lucratif,974=2,2,2,Q199,no,no,no,"demandeurs=1,d'emploi=1,souvent=1,profils=1,qualifications=1,exigées=1,emploi=1",7,ou,solo
